Function Name,Priority,Status
Add2DFloatArrays,3,DONE
AddNewNode,5,DONE
AssembleTileConnComps,3,
AssembleTiles,2,
AvgSigSq,5,DONE
BoxCarAvg,6,DONE
BucketInsert,6,DONE
BucketRemove,6,DONE
BuildCostArrays,3,
BuildDZRCritLookupTable,5,DONE
BuildDZRhoMaxLookupTable,5,DONE
BuildStatCostsDefo,4,
BuildStatCostsSmooth,4,
BuildStatCostsTopo,4,
CalcCostLP,0,
CalcCostLPBiDir,0,
CalcCostNonGrid,0,
CalcDZRhoMax,6,DONE
CalcFlow,5,DONE
CalcInitMaxFlow,4,DONE
CalcWrappedAzDiffs,5,DONE
CalcWrappedRangeDiffs,5,DONE
CAlloc,8,NOT_PLANNED
CatchSignals,2,DONE
CheckArcReducedCost,4,DONE
CheckBoundary,5,DONE
CheckLeaf,5,DONE
CheckMagMasking,3,DONE
CheckParams,1,
ChildResetStreamPointers,2,DONE
CleanUpBoundaryNodes,4,DONE
ClearBuckets,4,DONE
ClipFlow,4,DONE
ClosestNode,5,DONE
cs_init,6,NOT_PLANNED
cs2,5,NOT_PLANNED
cs2mcfparse,5,NOT_PLANNED
CycleResidue,4,DONE
Despeckle,5,DONE
discharge,7,NOT_PLANNED
DischargeBoundary,4,DONE
DischargeTree,4,
DisplayElapsedTime,2,DONE
DumpIncrCostFiles,3,DONE
EIofDZR,6,DONE
err_end,9,DONE
EvalCostLP,0,
EvalCostLPBiDir,0,
EvalCostNonGrid,0,
EvaluateTotalCost,3,DONE
ExtractFlow,4,DONE
FindApex,4,DONE
FindNumPathsOut,4,DONE
FindScndryNode,6,DONE
finishup,6,NOT_PLANNED
FlattenWrappedPhase,3,DONE
FlipFlowArraySign,3,DONE
FlipPhaseArraySign,4,DONE
Free2DArray,6,NOT_PLANNED
Get2DMem,7,NOT_PLANNED
Get2DRowColMem,6,NOT_PLANNED
Get2DRowColZeroMem,7,NOT_PLANNED
GetArcNumLims,6,DONE
GetCost,6,DONE
GetIntensityAndCorrelation,4,
GetNLines,1,DONE
GridNodeMaskStatus,6,DONE
GroundMaskStatus,6,DONE
GrowConnCompsMask,3,
GrowRegions,3,
InitBoundary,4,
InitBuckets,4,DONE
InitNetwork,3,DONE
InitNodeNums,4,DONE
InitNodes,4,DONE
InitTree,4,DONE
IntegratePhase,4,DONE
IntegrateSecondaryFlows,3,DONE
IsFalse,5,DONE
IsFinite,7,DONE
IsRegionArc,6,DONE
IsRegionEdgeArc,5,DONE
IsRegionEdgeNode,5,DONE
IsRegionInteriorArc,5,DONE
IsTrue,5,DONE
LClip,6,DONE
LinInterp1D,6,DONE
LinInterp2D,5,DONE
LMin,6,DONE
LogBoolParam,2,DONE
LogFileFormat,2,DONE
LogStringParam,2,DONE
LRound,6,DONE
MakeTileDir,2,DONE
MAlloc,8,NOT_PLANNED
MaskCost,5,DONE
MaskNodes,3,DONE
MaskPrespecifiedArcCosts,4,DONE
MaskSmoothCost,5,DONE
MaxNonMaskFlow,3,DONE
MCFInitFlows,3,DONE
MergeRegions,4,DONE
MinOutCostNode,4,DONE
MirrorPad,6,DONE
ModDiff,6,DONE
MSTInitFlows,3,DONE
NodeResidue,5,DONE
NonDegenUpdateChildren,4,
NonNegDataArray,6,DONE
OpenOutputFile,6,DONE
ParseConfigLine,3,DONE
ParseFilename,7,DONE
ParseSecondaryFlows,4,DONE
price_in,7,DONE
price_out,6,NOT_PLANNED
price_refine,6,NOT_PLANNED
price_update,7,DONE
ProcessArgs,1,
PruneTree,4,DONE
Read2DArray,6,DONE
Read2DRowColFile,5,DONE
Read2DRowColFileRows,4,DONE
ReadAltLineFile,6,DONE
ReadAltLineFilePhase,6,DONE
ReadAltSampFile,6,DONE
ReadByteMask,3,DONE
ReadComplexFile,4,DONE
ReadConfigFile,2,DONE
ReadCorrelation,5,DONE
ReadEdgesAboveAndBelow,3,DONE
ReadInputFile,3,DONE
ReadIntensity,5,DONE
ReadMagnitude,3,DONE
ReadNextRegion,3,DONE
ReadUnwrappedEstimateFile,3,DONE
ReadWeightsFile,4,DONE
ReAlloc,6,NOT_PLANNED
ReCalcCost,4,DONE
refine,6,NOT_PLANNED
RegionsNeighborNode,5,DONE
RegionTraceCheckNeighbors,4,DONE
relabel,8,DONE
RemoveMean,5,DONE
RenumberRegion,4,DONE
ScanRegion,5,DONE
SelectConnNodeSource,4,DONE
SelectSources,3,DONE
Set2DShortArray,5,DONE
SetBooleanSignedChar,4,DONE
SetDefaults,1,
SetDumpAll,1,DONE
SetGridNetworkFunctionPointers,3,DONE
SetLeftEdge,4,DONE
SetLowerEdge,4,DONE
SetNonGridNetworkFunctionPointers,3,DONE
SetRightEdge,4,DONE
SetStreamPointers,1,DONE
SetTileInitOutfile,2,DONE
SetTileReadParams,4,DONE
SetUpDoTileMask,2,DONE
SetupIncrFlowCosts,3,DONE
SetUpperEdge,4,DONE
SetupTile,4,DONE
SetupTreeSolveNetwork,3,DONE
SetVerboseOut,1,DONE
Short2DRowColAbsMax,5,DONE
SolveCS2,4,
